id,make,model,year,Cost
1,Mercedes-Benz,C-Class,2006,"€15032,57"
2,Dodge,Journey,2009,"€4801,83"
3,Maserati,430,1991,"€16801,09"
4,Suzuki,Swift,1987,"€6977,00"
5,Infiniti,G,1992,"€1470,05"
6,Dodge,Stratus,1998,"€20730,74"
7,Land Rover,Freelander,2001,"€16829,08"
8,Pontiac,G6,2009,"€9030,87"
9,Mercury,Lynx,1985,"€6145,46"
10,Toyota,Echo,2002,"€18304,94"
11,Nissan,Maxima,1996,"€3975,26"
12,Ford,Econoline E350,1998,"€17688,80"
13,Subaru,Forester,2002,"€8615,79"
14,Mazda,626,1997,"€20481,33"
15,BMW,760,2006,"€16995,98"
16,Nissan,Pathfinder,2012,"€22376,10"
17,Kia,Sedona,2002,"€14352,95"
18,Suzuki,Daewoo Magnus,2006,"€21208,55"
19,Subaru,Legacy,2003,"€5960,30"
20,BMW,5 Series,2006,"€12783,04"
21,Ford,E-Series,2006,"€12343,64"
22,Suzuki,Verona,2006,"€8543,25"
23,Chrysler,Concorde,2001,"€4418,38"
24,Chevrolet,Camaro,1973,"€6393,49"
25,Dodge,Avenger,2008,"€13443,70"
26,Nissan,Rogue,2008,"€5354,07"
27,Lexus,SC,2003,"€16915,07"
28,Peugeot,207,2006,"€2209,72"
29,Isuzu,Space,1993,"€18980,52"
30,Volkswagen,Fox,1987,"€15452,08"
31,GMC,Yukon,2008,"€16429,44"
32,Volkswagen,Tiguan,2011,"€18536,82"
33,Dodge,Dakota Club,2007,"€9793,13"
34,Ford,Thunderbird,1992,"€22049,37"
35,Mazda,RX-8,2007,"€10401,54"
36,Dodge,Ram 2500,2007,"€15753,06"
37,Buick,Enclave,2010,"€7425,80"
38,Chrysler,Town & Country,1994,"€6367,38"
39,Mitsubishi,Tredia,1984,"€6667,72"
40,Chevrolet,2500,1999,"€22711,61"
41,Chevrolet,Suburban 2500,2000,"€1320,02"
42,Ford,E150,2011,"€8654,37"
43,Chevrolet,APV,1992,"€16363,88"
44,Audi,Coupe Quattro,1991,"€2082,97"
45,Mitsubishi,Montero,2003,"€24525,05"
46,Honda,Accord,1990,"€13910,85"
47,Dodge,Ram 1500,1997,"€9759,54"
48,Toyota,MR2,2004,"€22606,85"
49,BMW,5 Series,2012,"€3339,99"
50,Mitsubishi,Outlander,2010,"€5828,74"
51,Buick,Century,1994,"€16919,94"
52,Ford,Mustang,1970,"€4668,52"
53,Nissan,Altima,2006,"€7740,39"
54,Chevrolet,Astro,1994,"€4759,98"
55,Kia,Sorento,2008,"€5197,24"
56,Acura,MDX,2002,"€14571,69"
57,Buick,Skyhawk,1987,"€15524,03"
58,Toyota,Prius,2004,"€14510,22"
59,Ford,Taurus,1997,"€2521,42"
60,Dodge,Caravan,2008,"€6654,80"
61,Ford,E-Series,1988,"€3470,95"
62,Mazda,Mazdaspeed 3,2009,"€8722,35"
63,Pontiac,Grand Am,2003,"€19940,57"
64,Ferrari,612 Scaglietti,2007,"€9621,63"
65,BMW,Z3,2000,"€16486,25"
66,Lincoln,Town Car,1984,"€18747,07"
67,Porsche,Cayenne,2004,"€18564,61"
68,BMW,X5,2008,"€15117,23"
69,Volkswagen,New Beetle,2007,"€2552,68"
70,GMC,Yukon,2005,"€6564,74"
71,Toyota,Tacoma,1996,"€2450,14"
72,Pontiac,Trans Sport,1993,"€8935,25"
73,Saab,900,1995,"€7410,80"
74,Ford,LTD Crown Victoria,1987,"€15968,79"
75,Nissan,Sentra,1999,"€19323,17"
76,Hyundai,Tucson,2012,"€24306,11"
77,Chevrolet,Uplander,2006,"€13681,76"
78,Honda,Fit,2010,"€4630,20"
79,GMC,Envoy,2007,"€5693,20"
80,Audi,A6,2007,"€14657,24"
81,BMW,M3,1996,"€6638,42"
82,Ford,F-Series,2005,"€21142,00"
83,Chrysler,Crossfire Roadster,2006,"€4516,67"
84,Cadillac,CTS,2012,"€9987,26"
85,Subaru,Outback,2005,"€19397,55"
86,Chevrolet,S10 Blazer,1992,"€10236,85"
87,Ford,Mustang,2007,"€23814,64"
88,BMW,X5,2009,"€24900,22"
89,GMC,Yukon,2009,"€17805,03"
90,Infiniti,I,1996,"€14726,06"
91,Ford,Mustang,1987,"€9369,67"
92,BMW,X5,2008,"€5215,40"
93,Hummer,H2,2008,"€12733,25"
94,Hyundai,Entourage,2007,"€18043,72"
95,Hyundai,Santa Fe,2002,"€4105,78"
96,Suzuki,Cultus,1985,"€17811,93"
97,Chevrolet,Express 2500,2001,"€10286,47"
98,Ford,Escort,1987,"€20025,14"
99,Ford,Mustang,2008,"€9248,07"
100,Ford,Escort,1990,"€5318,67"
101,Maybach,62,2005,"€24366,37"
102,Toyota,Land Cruiser,2004,"€24997,85"
103,Acura,RSX,2006,"€15134,55"
104,Mercedes-Benz,SLK-Class,2006,"€12807,93"
105,Mitsubishi,Diamante,1992,"€18001,51"
106,GMC,Jimmy,1993,"€19774,28"
107,Cadillac,DTS,2009,"€16005,37"
108,Aston Martin,Rapide,2011,"€7429,73"
109,Nissan,Rogue,2008,"€1186,61"
110,Mercedes-Benz,E-Class,1991,"€1998,18"
111,Porsche,Cayenne,2006,"€10832,07"
112,MINI,Countryman,2011,"€14722,19"
113,Mercury,Mariner,2008,"€7677,65"
114,GMC,3500 Club Coupe,1995,"€3420,28"
115,Volkswagen,Golf,1998,"€10117,61"
116,Suzuki,Swift,2006,"€7800,22"
117,Porsche,911,1987,"€1403,00"
118,Chevrolet,Express 2500,2011,"€18556,49"
119,Ford,Freestar,2006,"€1308,55"
120,Buick,Estate,1989,"€7145,66"
121,Pontiac,Grand Am,1989,"€1682,05"
122,Jaguar,X-Type,2003,"€13587,96"
123,Isuzu,i-Series,2008,"€11558,84"
124,GMC,2500 Club Coupe,1995,"€9135,19"
